id,hometeam,awayteam,htg,atg,w,stadium,date,match
1,Benfica,CSKA Moscow,1,2,A,Estadio da Luz,9/12/2017,Group A
2,Manchester United,Basel,3,0,H,Old Trafford,9/12/2017,
3,Basel,Benfica,5,0,H,St. Jakob-Park,9/27/2017,
4,CSKA Moscow,Manchester United,1,4,A,VEB Arena,9/27/2017,
5,CSKA Moscow,Basel,0,2,A,VEB Arena,10/18/2017,
6,Benfica,Manchester United,0,1,A,Estadio da Luz,10/18/2017,
7,Basel,CSKA Moscow,1,2,A,St. Jakob-Park,10/31/2017,
8,Manchester United,Benfica,2,0,H,Old Trafford,10/31/2017,
9,CSKA Moscow,Benfica,2,0,H,VEB Arena,11/22/2017,
10,Basel,Manchester United,1,0,H,St. Jakob-Park,10/22/2017,
11,Benfica,Basel,0,2,A,Estadio da Luz,12/5/2017,
12,Manchester United,CSKA Moscow,2,1,H,Old Trafford,12/5/2017,
13,Bayern Munich,Anderlecht,3,0,H,Allianz Arena,9/12/2017,Group B
14,Celtic,Paris Saint-Germain,0,5,A,Celtic Park,9/12/2017,
15,Paris Saint-Germain,Bayern Munich,3,0,H,Parc des Princes,9/27/2017,
16,Anderlecht,Celtic,0,3,A,Constant Vanden Stock Stadium,9/27/2017,
17,Anderlecht,Paris Saint-Germain,0,4,A,Constant Vanden Stock Stadium,10/18/2017,
18,Bayern Munich,Celtic,3,0,H,Allianz Arena,10/18/2017,
19,Paris Saint-Germain,Anderlecht,5,0,H,Parc des Princes,10/31/2017,
20,Celtic,Bayern Munich,1,2,A,Celtic Park,10/31/2017,
21,Anderlecht,Bayern Munich,1,2,A,Constant Vanden Stock Stadium,11/22/2017,
22,Paris Saint-Germain,Celtic,7,1,H,Parc des Princes,10/22/2017,
23,Bayern Munich,Paris Saint-Germain,3,1,H,Allianz Arena,12/5/2017,
24,Celtic,Anderlecht,0,1,A,Celtic Park,12/5/2017,
25,Chelsea,Qarabag,6,0,H,Stamford Bridge,9/12/2017,Group C
26,AS Roma,Atletico Madrid,0,0,D,Stadio Olimpico,9/12/2017,
27,Qarabag,AS Roma,1,2,A,Olympic Stadium,9/27/2017,
28,Atletico Madrid,Chelsea,1,2,A,Wanda Metropolitano,9/27/2017,
29,Qarabag,Atletico Madrid,0,0,D,Olympic Stadium,10/18/2017,
30,Chelsea,AS Roma,3,3,D,Stamford Bridge,10/18/2017,
31,Atletico Madrid,Qarabag,1,1,D,Wanda Metropolitano,10/31/2017,
32,AS Roma,Chelsea,3,0,H,Stadio Olimpico,10/31/2017,
33,Qarabag,Chelsea,0,4,A,Olympic Stadium,11/22/2017,
34,Atletico Madrid,AS Roma,2,0,H,Wanda Metropolitano,10/22/2017,
35,Chelsea,Atletico Madrid,1,1,D,Stamford Bridge,12/5/2017,
36,AS Roma,Qarabag,1,0,H,Stadio Olimpico,12/5/2017,
37,Barcelona,Juventus,3,0,H,Camp Nou,9/12/2017,Group D
38,Olympiacos,Sporting CP,2,3,A,Karaiskakis Stadium,9/12/2017,
39,Sporting CP,Barcelona,0,1,A,Estadio Jose Alvalade,9/27/2017,
40,Juventus,Olympiacos,2,0,H,Juventus Stadium,9/27/2017,
41,Juventus,Sporting CP,2,1,H,Juventus Stadium,10/18/2017,
42,Barcelona,Olympiacos,3,1,H,Camp Nou,10/18/2017,
43,Sporting CP,Juventus,1,1,D,Estadio Jose Alvalade,10/31/2017,
44,Olympiacos,Barcelona,0,0,D,Karaiskakis Stadium,10/31/2017,
45,Juventus,Barcelona,0,0,D,Juventus Stadium,11/22/2017,
46,Sporting CP,Olympiacos,3,1,H,Estadio Jose Alvalade,10/22/2017,
47,Barcelona,Sporting CP,2,0,H,Camp Nou,12/5/2017,
48,Olympiacos,Juventus,0,2,A,Karaiskakis Stadium,12/5/2017,
49,Maribor,Spartak Moscow,1,1,D,Ljudski vrt,9/12/2017,Group E
50,Liverpool,Sevilla,2,2,D,Anfield,9/12/2017,
51,Sevilla,Maribor,3,0,H,Ramon Sanchez Pizjuan,9/27/2017,
52,Spartak Moscow,Liverpool,1,1,D,Otkritie Arena,9/27/2017,
53,Spartak Moscow,Sevilla,5,1,H,Otkritie Arena,10/18/2017,
54,Maribor,Liverpool,0,7,A,Ljudski vrt,10/18/2017,
55,Sevilla,Spartak Moscow,2,1,H,Ramon Sanchez Pizjuan,10/31/2017,
56,Liverpool,Maribor,3,0,H,Anfield,10/31/2017,
57,Spartak Moscow,Maribor,1,1,D,Otkritie Arena,11/22/2017,
58,Sevilla,Liverpool,3,3,D,Ramon Sanchez Pizjuan,10/22/2017,
59,Maribor,Sevilla,1,1,D,Ljudski vrt,12/5/2017,
60,Liverpool,Spartak Moscow,7,0,H,Anfield,12/5/2017,
61,Feyenoord,Manchester City,0,4,A,De Kuip,9/12/2017,Group F
62,Shakhtar Donetsk,Napoli,2,1,H,Metalist Stadium,9/12/2017,
63,Napoli,Feyenoord,3,1,H,Stadio San Paolo,9/27/2017,
64,Manchester City,Shakhtar Donetsk,2,0,H,City of Manchester Stadium,9/27/2017,
65,Manchester City,Napoli,2,1,H,City of Manchester Stadium,10/18/2017,
66,Feyenoord,Shakhtar Donetsk,1,2,A,De Kuip,10/18/2017,
