Team,League,Nationality,Couch,Formation,Venue
Basel,Swiss Super League,Switzerland,Raphael Wicky,5-4-1 3-4-2-1,St. Jakob-Park
Manchester City,EPL,England,Pep Guardiola,3-5-2 4-3-3 2-3-32,City of Manchester Stadium
Juventus,Serie A,Italia,Massimiliano Allegri,4-4-2 3-4-3 4-1-4-1,Juventus Stadium
Tottenham Hotspur,EPL,England,Mauricio Pochettino,4-4-2 4-4-1-1,Wembley Stadium
FC Porto,Primeira Liga,Portugal,Sergio Conceicao,4-4-2 4-2-3-1 4-4-1-1,Estadio do Dragao
Liverpool,EPL,England,Jurgen Klopp,4-3-3,Anfield
Real Madrid,La Liga,Spain,Zinedine Zidane,4-4-2 4-3-3,Santiago Bernabeu
Paris Saint-Germain,Ligue 1,France,Unai Emery,4-3-3,Parc des Princes
Bayern Munich,Bundesliga,Germany,Jupp Heynckes,4-3-3,Allianz Arena
Besiktas JK,Super Lig,Turki,Senol Gunes,4-2-3-1 4-4-2,Vodafone Park
Chelsea FC,EPL,England,Antonio Conten,3-4-3 5-4-1,Stamford Bridge
Barcelona,La Liga,Spain,Ernesto Valverde,4-4-2 4-3-3,Camp Nou
Sevilla,La Liga,Spain,Vincenzo Montella,4-2-3-1,Ramon Sanchez Pizjuan
Manchester United,EPL,England,Jose Mourinho,4-3-3 4-5-1,Old Trafford
Shakhtar Donetsk,Ukrainian Premier League,Ukraine,Paulo Fonseca,4-2-3-1,Metalist Stadium
AS Roma,Serie A,Italia,Eusebio De Fransisco,4-3-3 3-4-1-2,Stadio Olimpico
CSKA Moscow,Russian Premier League,Russia,Viktor Goncharenko,5-3-2,VEB Arena
Benfica,Primeira Liga,Portugal,Rui Vitoria,4-2-3-1,Estadio da Luz
Celtic,Scottish Premiership,Scotland,Brendan Rodgers,4-2-3-1,Celtic Park
Anderlecht,Belgian Pro League,Belgia,Hein Vanhaezebrouk,4-3-3,Constant Vanden Stock Stadium
Atletico Madrid,La Liga,Spain,Diego Simeone,4-4-2,Wanda Metropolitano
Qarabag,Azerbaijan Premier League,Azerbaijan,Gurban Gurbanov,4-5-1,Olympic Stadium
Sporting CP,Primeira Liga,Portugal,Jorge Jesus,4-2-3-1,Estadio Jose Alvalade
Olympiacos,Superleague Greece,Greece,Takis Lemonis,4-5-1,Karaiskakis Stadium
Spartak Moscow,Russian Premier League,Russia,Massimo Carrera,4-2-3-1,Otkritie Arena
Maribor,SNL,Slovenia,Darko Milanic,4-4-2,Ljudski vrt
Napoli,Serie A,Italia,Maurizio Sarri,4-3-2-1,Stadio San Paolo
Feyenoord,Serie A,Italia,Giovanni van Bronckhorst,4-3-3,De Kuip
RB Leipzig,Bundesliga,Germany,Ralph Hasenhutti,4-2-3-1,Red Bull Arena
Monaco,Ligue 1,France,Leonardo Jardim,4-3-3,Stade Louis II
Borussia Dortmund,Bundesliga,Germany,Peter Bosz,4-3-2-1,Westfalenstadion
APOEL,Cypriot Cup,Cyprus,Giorgos Donis,4-2-3-1,GSP Stadium
