,Basel,Manchester City,Juventus,Tottenham Hotspur,FC Porto,Real Madrid,Paris Saint-Germain,Bayern Munich,Besiktas JK,Chelsea FC,Barcelona,Sevilla,Manchester United,FC Shakhtar Donetsk,AS Roma,Liverpool,CSKA Moscow,Benfica,Celtic,Anderlecht,Atletico Madrid,Qarabag,Sporting CP,Olympiacos,Spartak Moscow,Maribor,Napoli,Feyenoord,RB Leipzig,Monaco,Borussia Dortmund,APOEL
Argentina,0,2,2,3,0,0,3,0,0,0,2,6,2,2,2,0,0,0,0,0,4,0,4,0,0,0,0,0,0,1,0,0
Belgium,0,2,0,3,0,0,1,0,0,5,1,0,2,0,1,1,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0
Brazil,0,5,2,0,5,2,5,1,2,4,2,1,0,9,5,2,1,0,0,0,1,0,3,0,1,1,0,0,1,0,0,1
Croatia,0,0,2,0,0,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,0,11,0,14,0,0,0,0,0,7,0,0,14,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
France,1,2,1,3,0,4,12,3,0,2,3,4,2,0,1,0,0,0,2,2,2,1,1,0,0,0,0,0,3,8,0,1
Germany,0,2,2,0,0,1,2,12,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,12,0,12,0
Italy,1,0,9,0,0,0,2,0,0,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0
Netherlands,1,0,0,1,0,0,0,1,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Portugal,0,0,0,0,9,1,0,0,2,1,2,1,1,0,0,0,0,12,0,0,0,0,11,2,1,1,1,0,1,2,1,0
Spain,0,2,0,0,4,13,1,3,2,6,10,8,3,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
Switzerland,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rusia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
