id,media
u01,Argentina
u02,Belgium
u03,Brazil
u04,Croatia
u05,England
u06,France
u07,Germany
u08,Italy
u09,Netherlands
u10,Portugal
u11,Spain
u12,Switzerland
u13,Sweden
u14,Ukraine
u15,Azerbaijan
u16,Cyprus
u17,Scotland
u18,Turki
u19,Greece
u20,Russia
u21,Slovenia
S01,Basel
S02,Manchester City
S03,Juventus
S04,Tottenham Hotspur
S05,FC Porto
S06,Liverpool
S07,Real Madrid
S08,Paris Saint-Germain
S09,Bayern Munich
S10,Besiktas JK
S11,Chelsea FC
S12,Barcelona
S13,Sevilla
S14,Manchester United
S15,Shakhtar Donetsk
S16,AS Roma
S17,CSKA Moscow
S18,Benfica
S19,Celtic
S20,Anderlecht
S21,Atletico Madrid
S22,Qarabag
S23,Sporting CP
S24,Olympiacos
S25,Spartak Moscow
S26,Maribor
S27,Napoli
S28,Feyenoord
S29,RB Leipzig
S30,Monaco
S31,Borussia Dortmund
S32,APOEL
