id,media
u01,Higuain
u02,Kane
u03,Eriksen
u04,Son Heung-min
u05,Dybala
u06,Gundogan
u07,B. Silva
u08,Aguero
u09,Gabriel Jesus
u10,Elyounoussi
u11,Lang
u12,Mane
u13,Salah
u14,Firmino
u15,Lukaku
u16,Ben Yedder
u17,Ronaldo
u18,Marcelo
u19,Rabiot
u20,Cavani
u21,Casemiro
u22,Ferreyra
u23,Fred
u24,Under
u25,Dzeko
u26,Willian
u27,Messi
u28,Dembele
u29,Muller
u30,Coman
u31,Lewandowski
u32,Vagner Love
u33,Thiago
u34,Wagner
u35,De Rossi
u36,Manolas
u37,Pique
u38,L. Suarez
u39,Sarabia
u40,Mandzukic
u41,Matuidi
u42,Oxlade-Chamberlain
u43,Kimmich
u44,Asensio
u45,Benzema
u46,Rodrigues
u47,Perotti
u48,Nainggolan
u49,Wijnaldum
u50,Bale
u51,Seferovic
u52,Vitinho
u53,Zhamaletdinov
u54,Fellaini
u55,Rashford
u56,Oberlin
u57,Van Wolfswinkel
u58,Riveros
u59,Kuchayev
u60,Martial
u61,Mkhitaryan
u62,Xhaka
u63,Zuffi
u64,Dzagoev
u65,Wernbloom
u66,Svilar
u67,Blind
u68,Shchennikov
u69,Jardel
u70,Neymar
u71,Mbappe
u72,Lustig
u73,Dani Alves
u74,Griffiths
u75,Roberts
u76,Sinclair
u77,Di Maria
u78,Hummels
u79,Verratti
u80,Kurzawa
u81,McGregor
u82,Martinez
u83,Hanni
u84,Tolisso
u85,Simunovic
u86,Pedro
u87,Zappacosta
u88,Azpilicueta
u89,Bakayoko
u90,Batshuayi
u91,Medvedev
u92,Pedro Henrique
u93,Griezmann
u94,Morata
u95,David Luiz
u96,Hazard
u97,Kalarov
u98,Partey
u99,Michel
u100,El shaarawy
u101,Fabregas
u102,Gameiro
u103,Savic
u104,Saul
u105,Rakitic
u106,Pardo
u107,Doumbia
u108,Gelson M
u109,Fernandes
u110,Pjanic
u111,Digne
u112,Nikolau
u113,Bruno Cesar
u114,Dost
u115,Odjidja-Ofoe
u116,Alcacer
u117,Mathieu
u118,Cuadrado
u119,Bernardeschi
u120,Bohar
u121,Samedov
u122,Correa
u123,Coutinho
u124,Fernando
u125,Promes
u126,Maelgarejo
u127,Glushakov
u128,Luiz Adriano
u129,Kjaer
u130,Alexander-Arnold
u131,Lenglet
u132,Banega
u133,Ze Luis
u134,Can
u135,Sturridge
u136,Mesanovic
u137,Pizarro
u138,Tavares
u139,Ganso
u140,Stones
u141,Taison
u142,Milik
u143,Insigne
u144,Mertens
u145,Callejon
u146,Amrabat
u147,De Bruyne
u148,Sterling
u149,Diawara
u150,Berghuis
u151,Bernard
u152,Jorginho
u153,Otamendi
u154,Marlos
u155,Jorgensen
u156,Zielinski
u157,St. Juste
u158,Ismaily
u159,Forsberg
u160,Tielemans
u161,Tosic
u162,Talisca
u163,Tosun
u164,Babel
u165,Aboubakar
u166,Layun
u167,Falcao
u168,Orban
u169,Augustin
u170,Marcano
u171,Lopes
u172,Herrera
u173,Danilo
u174,Pereira
u175,Werner
u176,Felipe
u177,Keita
u178,Negredo
u179,Brahimi
u180,Telles
u181,Soares
u182,Glik
u183,Ramos
u184,Yarmolenko
u185,Aubameyang
u186,Pote
u187,Papastathopoulos
u188,Varane
u189,Guerreiro
u190,Alli
u191,Modrid
u192,Nacho
u193,Mayoral
u194,Vazques
u195,Llorente
u196,Nkoudou
S01,Basel
S02,Manchester City
S03,Juventus
S04,Tottenham Hotspur
S05,FC Porto
S06,Real Madrid
S07,Paris Saint-Germain
S08,Bayern Munich
S09,Besiktas JK
S10,Chelsea FC
S11,Barcelona
S12,Sevilla
S13,Manchester United
S14,FC Shakhtar Donetsk
S15,AS Roma
S16,Liverpool
S17,Benfica
S18,CSKA Moscow
S19,Anderlecth
S20,Celtic
S21,Qarabag
S22,Atletico Madrid
S23,Olympiacos
S24,Sporting CP
S25,Maribor
S26,Spartak Moscow
S27,Feyenoord
S28,Napoli
S29,RB Leipzig
S30,Monaco
S31,APOEL
S32,Borussia Dortmund
