id,media
u01,Basel
u02,Manchester City
u03,Juventus
u04,Tottenham Hotspur
u05,FC Porto
u06,Real Madrid
u07,Paris Saint-Germain
u08,Bayern Munich
u09,Besiktas JK
u10,Chelsea FC
u11,Barcelona
u12,Sevilla
u13,Manchester United
u14,FC Shakhtar Donetsk
u15,AS Roma
u16,Liverpool
u17,Benfica
u18,CSKA Moscow
u19,Anderlecth
u20,Celtic
u21,Qarabag
u22,Atletico Madrid
u23,Olympiacos
u24,Sporting CP
u25,Maribor
u26,Spartak Moscow
u27,Feyenoord
u28,Napoli
u29,RB Leipzig
u30,Monaco
u31,APOEL
u32,Borussia Dortmund
S01,Higuain
S02,Kane
S03,Eriksen
S04,Son Heung-min
S05,Dybala
S06,Gundogan
S07,B. Silva
S08,Aguero
S09,Gabriel Jesus
S10,Elyounoussi
S11,Lang
S12,Mane
S13,Salah
S14,Firmino
S15,Lukaku
S16,Ben Yedder
S17,Ronaldo
S18,Marcelo
S19,Rabiot
S20,Cavani
S21,Casemiro
S22,Ferreyra
S23,Fred
S24,Under
S25,Dzeko
S26,Willian
S27,Messi
S28,Dembele
S29,Muller
S30,Coman
S31,Lewandowski
S32,Vagner Love
S33,Thiago
S34,Wagner
S35,De Rossi
S36,Manolas
S37,Pique
S38,L. Suarez
S39,Sarabia
S40,Mandzukic
S41,Matuidi
S42,Oxlade-Chamberlain
S43,Kimmich
S44,Asensio
S45,Benzema
S46,Rodrigues
S47,Perotti
S48,Nainggolan
S49,Wijnaldum
S50,Bale
S51,Seferovic
S52,Vitinho
S53,Zhamaletdinov
S54,Fellaini
S55,Rashford
S56,Oberlin
S57,Van Wolfswinkel
S58,Riveros
S59,Kuchayev
S60,Martial
S61,Mkhitaryan
S62,Xhaka
S63,Zuffi
S64,Dzagoev
S65,Wernbloom
S66,Svilar
S67,Blind
S68,Shchennikov
S69,Jardel
S70,Neymar
S71,Mbappe
S72,Lustig
S73,Dani Alves
S74,Griffiths
S75,Roberts
S76,Sinclair
S77,Di Maria
S78,Hummels
S79,Verratti
S80,Kurzawa
S81,McGregor
S82,Martinez
S83,Hanni
S84,Tolisso
S85,Simunovic
S86,Pedro
S87,Zappacosta
S88,Azpilicueta
S89,Bakayoko
S90,Batshuayi
S91,Medvedev
S92,Pedro Henrique
S93,Griezmann
S94,Morata
S95,David Luiz
S96,Hazard
S97,Kalarov
S98,Partey
S99,Michel
S100,El shaarawy
S101,Fabregas
S102,Gameiro
S103,Savic
S104,Saul
S105,Rakitic
S106,Pardo
S107,Doumbia
S108,Gelson M
S109,Fernandes
S110,Pjanic
S111,Digne
S112,Nikolau
S113,Bruno Cesar
S114,Dost
S115,Odjidja-Ofoe
S116,Alcacer
S117,Mathieu
S118,Cuadrado
S119,Bernardeschi
S120,Bohar
S121,Samedov
S122,Correa
S123,Coutinho
S124,Fernando
S125,Promes
S126,Maelgarejo
S127,Glushakov
S128,Luiz Adriano
S129,Kjaer
S130,Alexander-Arnold
S131,Lenglet
S132,Banega
S133,Ze Luis
S134,Can
S135,Sturridge
S136,Mesanovic
S137,Pizarro
S138,Tavares
S139,Ganso
S140,Stones
S141,Taison
S142,Milik
S143,Insigne
S144,Mertens
S145,Callejon
S146,Amrabat
S147,De Bruyne
S148,Sterling
S149,Diawara
S150,Berghuis
S151,Bernard
S152,Jorginho
S153,Otamendi
S154,Marlos
S155,Jorgensen
S156,Zielinski
S157,St. Juste
S158,Ismaily
S159,Forsberg
S160,Tielemans
S161,Tosic
S162,Talisca
S163,Tosun
S164,Babel
S165,Aboubakar
S166,Layun
S167,Falcao
S168,Orban
S169,Augustin
S170,Marcano
S171,Lopes
S172,Herrera
S173,Danilo
S174,Pereira
S175,Werner
S176,Felipe
S177,Keita
S178,Negredo
S179,Brahimi
S180,Telles
S181,Soares
S182,Glik
S183,Ramos
S184,Yarmolenko
S185,Aubameyang
S186,Pote
S187,Papastathopoulos
S188,Varane
S189,Guerreiro
S190,Alli
S191,Modrid
S192,Nacho
S193,Mayoral
S194,Vazques
S195,Llorente
S196,Nkoudou
