id,media
u01,1-2
u02,3-4
u03,5-6
u04,7>
s01,Basel
s02,Manchester City
s03,Juventus
s04,Tottenham Hotspur
s05,FC Porto
s06,Liverpool
s07,Real Madrid
s08,Paris Saint-Germain
s09,Bayern Munich
s10,Besiktas JK
s11,Chelsea FC
s12,Barcelona
s13,Sevilla
s14,Manchester United
s15,Shakhtar Donetsk
s16,AS Roma
s17,CSKA Moscow
s18,Benfica
s19,Celtic
s20,Anderlecht
s21,Atletico Madrid
s22,Qarabag
s23,Sporting CP
s24,Olympiacos
s25,Spartak Moscow
s26,Maribor
s27,Napoli
s28,Feyenoord
s29,RB Leipzig
s30,Monaco
s31,Borussia Dortmund
s32,APOEL
