id,media
u01,Argentina
u02,Belgium
u03,Brazil
u04,Croatia
u05,England
u06,France
u07,Germany
u08,Italy
u09,Netherlands
u10,Portugal
u11,Spain
u12,Switzerland
u13,Sweden
u14,Ukraine
u15,Rusia
u16,Scotland
u17,Greece
u18,Cyprus
u19,Azerbaijan
u20,Slovenia
S01,Basel
S02,Manchester City
S03,Juventus
S04,Tottenham Hotspur
S05,FC Porto
S06,Real Madrid
S07,Paris Saint-Germain
S08,Bayern Munich
S09,Besiktas JK
S10,Chelsea FC
S11,Barcelona
S12,Sevilla
S13,Manchester United
S14,FC Shakhtar Donetsk
S15,AS Roma
S16,Liverpool
S17,CSKA Moscow
S18,Benfica
S19,Celtic
S20,Anderlecht
S21,Atletico Madrid
S22,Qarabag
S23,Sporting CP
S24,Olympiacos
S25,Spartak Moscow
S26,Maribor
S27,Napoli
S28,Feyenoord
S29,RB Leipzig
S30,Monaco
S31,Borussia Dortmund
S32,APOEL
