id,media
u01,St. Jakob-Park
u02,City of Manchester Stadium
u03,Juventus Stadium
u04,Wembley Stadium
u05,Estadio do Dragao
u06,Anfield
u07,Santiago Bernabeu
u08,Parc des Princes
u09,Allianz Arena
u10,Vodafone Park
u11,Stamford Bridge
u12,Camp Nou
u13,Ramon Sanchez Pizjuan
u14,Old Trafford
u15,Metalist Stadium
u16,Stadio Olimpico
u17,VEB Arena
u18,Estadio da Luz
u19,Celtic Park
u20,Constant Vanden Stock Stadium
u21,Wanda Metropolitano
u22,Olympic Stadium
u23,Estadio Jose Alvalade
u24,Karaiskakis Stadium
u25,Otkritie Arena
u26,Ljudski vrt
u27,Stadio San Paolo
u28,De Kuip
u29,Red Bull Arena
u30,Stade Louis II
u31,Westfalenstadion
u32,GSP Stadium
S01,Basel
S02,Manchester City
S03,Juventus
S04,Tottenham Hotspur
S05,FC Porto
S06,Liverpool
S07,Real Madrid
S08,Paris Saint-Germain
S09,Bayern Munich
S10,Besiktas JK
S11,Chelsea FC
S12,Barcelona
S13,Sevilla
S14,Manchester United
S15,Shakhtar Donetsk
S16,AS Roma
S17,CSKA Moscow
S18,Benfica
S19,Celtic
S20,Anderlecht
S21,Atletico Madrid
S22,Qarabag
S23,Sporting CP
S24,Olympiacos
S25,Spartak Moscow
S26,Maribor
S27,Napoli
S28,Feyenoord
S29,RB Leipzig
S30,Monaco
S31,Borussia Dortmund
S32,APOEL
